team name | assistant name | students ID's (space separated)
-----------------------------------------------------------
k1 | assistant1 | 1893 1062 3241 277 372 967 1812 3213
k2 | assistant2 | 3223 2561 1787 2430 1041 1534 246 2185
k3 | assistant1 | 1952 2265 409 1275 798 740 2881 2201
k4 | assistant3 | 2887 2532 2546 483 2417 43 1191 1414
k5 | assistant4 | 2269 848 2926 606 3054 2860 2324 1921
k6 | assistant3 | 1245 1102 1934 3026 2216 3211 355 1303
k7 | assistant4 | 3200 1120 404 143 1964 2788 2 3201
k8 | assistant4 | 469 1217 169 165 761 225 3097 3008
k9 | assistant3 | 638 235 1927 3242 2938 65 2949 1648
k10 | assistant3 | 2165 1848 618 2620 2337 849 188 2129
k11 | assistant4 | 146 1447 252 3144 1840 2497 914 1666
k12 | assistant3 | 107 1653 157 2861 2033 1967 1355 2439
k13 | assistant4 | 2989 292 122 2840 184 1960 1078 643
k14 | assistant4 | 3186 1676 3015 2512 1476 3143 1981 1075
k15 | assistant3 | 710 510 2746 542 2704 131 270 401
k16 | assistant3 | 3243 2029 1719 532 1811 3076 1093 210
k17 | assistant4 | 2730 580 802 1998 2548 3225 3096 219
k18 | assistant3 | 1272 2628 2607 1067 1872 648 1109 1436
k19 | assistant4 | 3004 1439 1907 1673 1072 2761 1050 562
k20 | assistant3 | 1059 2553 3244 1499 1642 1631 2143
k21 | assistant4 | 285 2916 2603 3245 2939 2769 371
k22 | assistant1 | 2703 2184 1711 3246 1060 1127 2467 2254
k23 | assistant2 | 909 291 789 2323 828 911 2296 1767
k24 | assistant5 | 1637 3040 2164 2733 992 2150 2446 1023
k25 | assistant5 | 869 2917 3247 2804 2660 430 1584 91
k26 | assistant5 | 2505 206 2519 320 930 2647 1978 1551
k27 | assistant5 | 3248 1136 2507 1889 551 2875 752 115
k28 | assistant5 | 1098 1803 1806 1789 1743 1942 1853 1061
k29 | assistant5 | 1775 426 2727 2646 2259 3137 3113 2963
k30 | assistant5 | 1203 2034 2101 2334 1532 125 1568 241
k31 | assistant5 | 2664 3220 2773 3249 1521 1083 1361 2791
k32 | assistant5 | 2777 647 3110 2809 2629 356 2711 384
k33 | assistant5 | 2000 3065 3132 166 1852 2726 993 331
k34 | assistant2 | 688 1284 3250 762 42 363 2156 1296
k35 | assistant1 | 2594 763 2541 1286 1472 3046 600 1267
k36 | assistant1 | 440 2242 473 36 199 1511 637 629
k37 | assistant2 | 2298 1611 1874 1896 3048 1900 1833 2123
k38 | assistant2 | 62 1582 2828 3118 1639 3043 2676 2073
k39 | assistant1 | 31 272 988 2792 2568 1375 256 602
k40 | assistant2 | 3041 2433 974 2655 2581 873 3251 3252
k41 | assistant1 | 34 1011 2040 3165 2211 3253 1994 1707
k42 | assistant1 | 3254 3042 1759 2955 593 2573 1022 472
k43 | assistant2 | 3255 2662 1260 1130 3025 2403 3256 1485
k44 | assistant1 | 3257 1483 2976 1760 2315 2021 3181 2994
k45 | assistant2 | 2977 2490 552 549 124 2261 1667 881
k46 | assistant2 | 524 2734 1421 1771 1325 2020 1124 2226
k47 | assistant1 | 2953 2719 2611 1273 3258 1252 2061 1018
